66597770;CT-18407;Inscription (CT);2020-01-22;Modéré;Le service médical rendu par AMBRISENTAN EG 5 mg et AMBRISENTAN EG 10 mg est modéré dans l’indication de l’AMM.;SMR
65381200;CT-18399;Inscription (CT);2020-02-05;Important;Le service médical rendu par POSACONAZOLE MYLAN 100 mg, comprimé gastro-résistant, est important dans les indications de l’AMM.;SMR
61511155;CT-18393;Inscription (CT);2020-02-19;Important;Le service médical rendu par CLOXACILLINE PANPHARMA 2 g est important dans les indications de l’AMM.;SMR
61151376;CT-18345;Inscription (CT);2020-02-19;Important;Le service médical rendu par MEROPENEM HIKMA 500 mg et 1 g, poudre pour solution injectable/pour perfusion est important dans les indications de l’AMM, uniquement en derniers recours et lorsque les alternatives sont inappropriées.;SMR
64201464;CT-18345;Inscription (CT);2020-02-05;Important;Le service médical rendu par MEROPENEM HIKMA 500 mg et 1 g, poudre pour solution injectable/pour perfusion est important dans les indications de l’AMM, uniquement en derniers recours et lorsque les alternatives sont inappropriées.;SMR
68797143;CT-18336;Inscription (CT);2020-02-05;Important; Le service médical rendu par BORTEZOMIB MEDAC 2,5 mg est important dans les indications :<br>- en monothérapie ou en association à la dexaméthasone, pour le traitement des patients adultes atteints de myélome multiple en progression, ayant reçu au moins 1 traitement antérieur et ayant déjà bénéficié ou étant inéligibles à une greffe de cellules souches hématopoïétiques.<br>- en association avec le melphalan et la prednisone, est indiqué pour le traitement des patients adultes atteints de myélome multiple non traité au préalable, non éligibles à la chimiothérapie intensive accompagnée d’une greffe de cellules souches hématopoïétiques .<br>- en association avec la dexaméthasone, ou avec la dexaméthasone et le thalidomide, est indiqué pour le traitement d’induction des patients adultes atteints de myélome multiple non traité au préalable, éligibles à la chimiothérapie intensive accompagnée d’une greffe de cellules souches hématopoïétiques .<br>- en association avec le rituximab, le cyclophosphamide, la doxorubicine et la prednisone, est indiqué pour le traitement des patients adultes atteints d’un lymphome à cellules du manteau non traité au préalable et qui ne sont pas éligibles à une greffe de cellules souches hématopoïétiques. ;SMR
68797143;CT-18336;Inscription (CT);2020-01-08;Insuffisant;Le service médical rendu par BORTEZOMIB MEDAC 2,5 mg est insuffisant dans l’indication « en association à la doxorubicine liposomale pégylée pour le traitement des patients adultes atteints de myélome multiple en progression, ayant reçu au moins 1 traitement antérieur et ayant déjà bénéficié ou étant inéligibles à une greffe de cellules souches hématopoïétiques ».;SMR
65485245;CT-18298;Inscription (CT);2020-01-08;Important;Le service médical rendu par GLICLAZIDE KRKA 30 mg, comprimé à libération modifiée, est important dans l’indication de l’AMM.;SMR
69521735;CT-18296;Inscription (CT);2020-02-05;Important;Le service médical rendu par POSACONAZOLE EG 100 mg, comprimé gastro-résistant est important dans les indications de l’AMM.;SMR
66902357;CT-18295;Inscription (CT);2020-02-05;Modéré;Le service médical rendu par OROFLUCO (fluconazole) 150 mg est modéré dans l’indication de l’AMM.;SMR
60304591;CT-18291;Inscription (CT);2020-01-08;Important;Le service médical rendu par TRAMADOL MYLAN PHARMA LP 100 mg, comprimé à libération prolongée, est important dans l’indication de l’AMM.;SMR
66707204;CT-18271;Inscription (CT);2020-02-05;Important;Le service médical rendu par LEVETIRACETAM TILLOMED 100 mg/ml, solution à diluer pour perfusion, est important dans les indications de l’AMM.;SMR
66613769;CT-18266;Inscription (CT);2020-02-05;Important;Le service médical rendu par XENETIX 300 et XENETIX 350, solution injectable en flacon avec nécessaire d’administration pour injecteur Medrad Stellant, est important dans les indications de l’AMM.;SMR
68324489;CT-18266;Inscription (CT);2019-12-11;Important;Le service médical rendu par XENETIX 300 et XENETIX 350, solution injectable en flacon avec nécessaire d’administration pour injecteur Medrad Stellant, est important dans les indications de l’AMM.;SMR
