60002283;comprimé;42215;1,00 mg;un comprimé;SA;1
60002504;comprimé;25783;168 mg;un comprimé;SA;1
60002504;comprimé;49632;150 mg;un comprimé;FT;1
60002746;granules;5319;2CH à 30CH et 4DH à 60DH;un comprimé;SA;7
60002746;solution buvable en gouttes;5319;2CH à 30CH et 4DH à 60DH;un comprimé;SA;8
60002867;crème;53034;2CH à 30CH et 4DH à 60DH (crème à 4 %);un comprimé;SA;18
60002867;granules;53034;2CH à 30CH et 4DH à 60DH;un comprimé;SA;14
60002867;poudre orale;53034;2CH à 30CH et 4DH à 60DH;un comprimé;SA;23
60002867;solution buvable en gouttes;53034;2CH à 30CH et 4DH à 60DH;un comprimé;SA;17
60003620;suspension;4179;800 microgrammes;2 ml de suspension;SA;1
60004277;gélule;3902;100,00 mg;une gélule;SA;1
60004487;comprimé;35415;200 mg;un comprimé;FT;1
60004487;comprimé;86571;;;SA;1
60005856;comprimé;4034;20 mg;un comprimé;SA;1
60005952;granules;12683;2CH à 30CH et 4DH à 60DH;un comprimé;SA;14
60005952;solution buvable en gouttes;12683;2CH à 30CH et 4DH à 60DH;un comprimé;SA;17
60006246;solution;40628;200 mg;un flacon;SA;1
60007437;comprimé;19809;40 mg;un comprimé;FT;1
60007437;comprimé;50091;;;SA;1
60007960;gel;931;0,5 g;100 ml;SA;2
60007960;gel;5432;0,6 g;100 ml;SA;1
60008845;solution;529;15 g;100 ml de solution pour perfusion;FT;1
60008845;solution;17150;16,5 g;100 ml de solution pour perfusion;SA;1
60008927;gélule;37973;1,5 mg;une gélule;FT;1
60008927;gélule;55512;;;SA;1
60009573;comprimé;2202;500 mg;un comprimé;SA;1
60009573;comprimé;74765;30 mg;un comprimé;SA;2
60009616;comprimé;25783;;;SA;1
60009616;comprimé;49632;300 mg;un comprimé;FT;1
60010084;poudre;3599;;;SA;1
60010084;poudre;42608;500 mg;un flacon;FT;1
60010166;solution;901;5,85 g;100 ml;SA;1
60010885;comprimé;66431;250 mg;un comprimé;FT;1
60010885;comprimé;79482;;;SA;1
60010967;capsule;19745;200 mg;une capsule;SA;1
60010967;capsule;36246;175,7 mg;une capsule;FT;1
60014894;comprimé;258;5 mg (4 DH);un comprimé;SA;6
60014894;comprimé;900;5 mg (4 DH);un comprimé;SA;5
60014894;comprimé;1851;5 mg (6 DH);un comprimé;SA;3
60014894;comprimé;7987;5 mg (8 DH);un comprimé;SA;2
60014894;comprimé;8172;5 mg (6 DH);un comprimé;SA;4
60014894;comprimé;25643;5 mg (8 DH);un comprimé;SA;1
60015448;comprimé;5495;2CH à 30CH et 4DH à 60DH;un comprimé;SA;17
60015448;granules;5495;2CH à 30CH et 4DH à 60DH;un comprimé;SA;19
60015448;pommade;5495;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé;SA;25
60015448;poudre orale;5495;2CH à 30CH et 4DH à 60DH;un comprimé;SA;18
60015448;solution buvable en ampoules;5495;2CH à 30CH et 4DH à 60DH;un comprimé;SA;23
60015448;solution buvable en gouttes;5495;2CH à 30CH et 4DH à 60DH;un comprimé;SA;20
60016308;comprimé;27222;25 mg;un comprimé;SA;1
60016589;solution;8152;1000 mg;une ampoule;SA;1
60017367;comprimé;49212;40,0 mg soit 6,4 mg au minimum quantité exprimée en cascaroside A;un comprimé;SA;10
60017367;comprimé;52488;30,0 mg soit 2,1 mg au minimum quantité exprimée en sennosides B;un comprimé;SA;9
60017367;comprimé;84423;30,0 mg;un comprimé;SA;7
60017367;comprimé;97193;50,0 mg;un comprimé;SA;8
60018088;gélule;39422;300 mg;une gélule;SA;26
60018444;comprimé;68776;;;SA;1
60018444;comprimé;76589;1 mg;un comprimé;FT;1
60018896;comprimé;46744;10 mg;un comprimé;SA;1
60018896;comprimé;52431;6,816 mg;un comprimé;FT;1
60019101;collyre;473;2 g;100 ml;SA;1
60019329;comprimé;3225;15 mg;un comprimé;SA;1
60019350;gel;4587;7 g (Teinture mère);100 g de gel;SA;1
60019927;comprimé;9231;100 mg;un comprimé;SA;1
60021127;comprimé;977;75,00 mg;un comprimé;SA;1
60021216;comprimé;1743;75 mg;un comprimé;SA;1
60021312;mousse;614;500 microgrammes;1 g de mousse;SA;1
60021771;solution;5558;30 mg;1 ml de solution injectable;SA;1
60021928;gélule;50540;8 mg;une gélule;SA;1
60022275;dispositif;4458;15,70 mg;un dispositif;SA;1
60023270;collyre;51528;20 mg;1 mL de collyre;FT;1
60023270;collyre;83176;22,26 mg;1 mL de collyre;SA;1
60025054;comprimé;82922;1,50 mg;un comprimé;SA;1
60025403;comprimé;2202;1000 mg;un comprimé;SA;1
60026494;comprimé;63947;20 mg;un comprimé;SA;1
60026957;comprimé;1976;5 mg;un comprimé;SA;1
60027685;gélule;4000;100 mg;une gélule;SA;1
60028050;gélule;16849;400 mg;une gélule;SA;1
60028495;comprimé jour;2202;500 mg;un comprimé;SA;5
60028495;comprimé jour;2278;30 mg;un comprimé;SA;7
60028495;comprimé nuit;2202;500 mg;un comprimé;SA;8
60028495;comprimé nuit;3225;7,5 mg;un comprimé;SA;9
60028552;solution;6492;25 mg;une ampoule;SA;1
60028680;granules;4191;3CH à 30CH et 5DH à 60DH;une ampoule;SA;14
60028680;poudre orale;4191;3CH à 30CH et 5DH à 60DH;une ampoule;SA;21
60028680;solution buvable en gouttes;4191;3CH à 30CH et 5DH à 60DH;une ampoule;SA;15
60029394;comprimé;98159;10 mg;un comprrimé;SA;1
60030980;mélange de plantes;213;0,72 g;un sachet-dose de 1,8 g;SA;1
60031071;comprimé;96835;10 mg;un comprimé;SA;1
60031527;comprimé;38524;20 mg;un comprimé;FT;1
60031527;comprimé;67373;22,6 mg;un comprimé;SA;1
60031954;comprimé;9586;8 mg;un comprimé;SA;1
60031954;comprimé;52431;6,68 mg;un comprimé;FT;1
60033510;poudre;10157;125 mg;un flacon;SA;1
60034085;solution;2667;10 mg;2 ml de solution;FT;1
60034085;solution;51868;;;SA;1
60034644;suspension;928;2,50 mg;1 ml de suspension injectable I.M.;SA;3
60034644;suspension;1836;1,00 mg;1 ml de suspension injectable I.M.;SA;2
60034936;gel;22692;120 mg;un sachet-dose 6 g;SA;1
60035461;pastille;24245;20 mg;une pastille;SA;1
60035714;solution;16648;50 mg;une seringue préremplie;SA;1
60035924;solution;2543;0,033 g;100 ml de solution buvable;SA;1
60037327;solution;3437;1 000 Unités Antihéparine;1 ml de solution injectable;SA;1
60037380;comprimé;15734;160 mg;un comprimé;SA;1
60037380;comprimé;39727;5 mg;un comprimé;FT;2
60037380;comprimé;93748;;;SA;2
60038468;comprimé;37011;200 mg;un comprimé;SA;1
60040145;pommade;929;5,00 g;100 g de pommade;SA;1
60040145;pommade;3777;1,00 g;100 g de pommade;SA;2
60040469;collyre;1379;0,1 mg;un récipient unidose;SA;1
60040572;solution;51742;200 mg;1 ml de solution;SA;1
60041165;granules;6427;3CH à 30CH et 6DH à 60DH;1 ml de solution;SA;14
60041165;poudre orale;6427;3CH à 30CH et 6DH à 60DH;1 ml de solution;SA;21
60041165;solution buvable en gouttes;6427;3CH à 30CH et 6DH à 60DH;1 ml de solution;SA;15
60041560;comprimé;86571;150 mg;un comprimé;SA;1
60042395;comprimé;4595;2CH à 30CH et 4DH à 60DH;un comprimé;SA;17
60042395;granules;4595;2CH à 30CH et 4DH à 60DH;un comprimé;SA;19
60042395;pommade;4595;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé;SA;25
60042395;poudre orale;4595;2CH à 30CH et 4DH à 60DH;un comprimé;SA;18
60042395;solution buvable en ampoules;4595;2CH à 30CH et 4DH à 60DH;un comprimé;SA;23
60042395;solution buvable en gouttes;4595;2CH à 30CH et 4DH à 60DH;un comprimé;SA;20
60043038;gaz;44570;50 % mole/mole;une bouteille;SA;2
60043038;gaz;75712;50 % mole/mole;une bouteille;SA;1
60043077;comprimé;62004;300 mg;un comprimé;SA;1
60043248;poudre;85085;pas moins de 3,0 log  DICC50;une dose de 0,5 ml de vaccin reconstitué;SA;1
60044492;comprimé;33803;5 mg;un comprimé;SA;1
60044784;comprimé;95609;250 mg;un comprimé;SA;1
60044987;comprimé;91877;500 mg;un comprimé;SA;1
60045217;solution;85821;2,5 mg;1 ml de solution à diluer pour perfusion;SA;6
60047143;lyophilisat;731;0,015 g;un flacon;SA;1
60047182;comprimé;5407;54 mg;un comprimé;SA;1
60047271;collyre;33474;50 microgrammes;1 ml;SA;1
60048672;comprimé;1257;24 mg;un comprimé;SA;1
60049895;comprimé;11532;10 mg;un comprimé;SA;1
60051234;capsule;36065;0,5 mg;une capsule;SA;1
60051316;comprimé;95609;250 mg;un comprimé;SA;1
60052254;granulés;3048;940 mg;1 g de granulés;SA;1
60052973;poudre;38050;200 mg;un flacon;FT;1
60052973;poudre;40424;;;SA;1
60053064;comprimé;4813;0,240 mg;un comprimé;SA;1
60053064;comprimé;51332;0,029 mg;un comprimé;FT;1
60053694;comprimé;52431;6,79 mg;un comprimé;FT;1
60053694;comprimé;69916;10 mg;un comprimé;SA;1
60054376;poudre;141;1000 mg;un flacon;SA;1
60056815;comprimé;769;600 mg;un comprimé;SA;1
60058008;comprimé;15734;160 mg;un comprimé;SA;2
60058008;comprimé;39727;10 mg;un comprimé;FT;1
60058008;comprimé;93748;;;SA;1
60058378;comprimé;977;75 mg;un comprimé;SA;1
60058517;comprimé;40435;;;SA;1
60058517;comprimé;83209;10 mg;un comprimé;FT;1
60058620;comprimé;35487;150 mg;un comprimé;SA;1
60059081;comprimé;5407;10 mg;un comprimé;SA;1
60061171;gélule;2742;226 mg;une gélule;SA;1
60061449;gaz;44570;q.s. (sous une pression de 10 à 12 bar, à -150 °C);une gélule;SA;1
60061602;gélule;39422;200 mg;une gélule;SA;1
60061709;comprimé;10171;20 mg;un comprimé;SA;2
60061709;comprimé;73242;10 mg;un comprimé;SA;1
60064527;comprimé;33609;500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine;un comprimé;SA;1
60064872;gélule;28886;;;SA;1
60064872;gélule;32833;8 mg;une gélule;FT;1
60065198;comprimé;7958;200 mg;un comprimé;SA;1
60065294;comprimé;38524;20 mg;un comprimé;FT;1
60065294;comprimé;67373;22,56 mg;un comprimé;SA;1
60067562;solution;952;0,0276 g;100 ml;SA;2
60067562;solution;15401;0,02 g;100 ml;FT;2
